"Seq","AOU","English_Common_Name","Freanch_Common_Name","Spanish_Common_Name","ORDER","Family","Genus","Species","ScientificName"
362,2620,"Buff-breasted Sandpiper","Bécasseau roussâtre","Calidris subruficollis","Charadriiformes","Scolopacidae","Calidris","subruficollis","Calidris subruficollis"
363,2390,"Pectoral Sandpiper","Bécasseau à poitrine cendrée","Calidris melanotos","Charadriiformes","Scolopacidae","Calidris","melanotos","Calidris melanotos"
364,2460,"Semipalmated Sandpiper","Bécasseau semipalmé","Calidris pusilla","Charadriiformes","Scolopacidae","Calidris","pusilla","Calidris pusilla"
365,2470,"Western Sandpiper","Bécasseau d'Alaska","Calidris mauri","Charadriiformes","Scolopacidae","Calidris","mauri","Calidris mauri"
366,2429,"unid. small ''peep'' sandpiper","unid petit Bécasseau sp.","Calidris sp.","Charadriiformes","Scolopacidae","Calidris","sp.","Calidris sp."
367,2310,"Short-billed Dowitcher","Bécassin roux","Limnodromus griseus","Charadriiformes","Scolopacidae","Limnodromus","griseus","Limnodromus griseus"
368,2320,"Long-billed Dowitcher","Bécassin à long bec","Limnodromus scolopaceus","Charadriiformes","Scolopacidae","Limnodromus","scolopaceus","Limnodromus scolopaceus"
369,2327,"unid. Short-billed / Long-billed Dowitcher","unid Bécassin roux / Bécassin à long bec","Limnodromus griseus / scolopaceus","Charadriiformes","Scolopacidae","Limnodromus","griseus / scolopaceus","Limnodromus griseus / scolopaceus"
372,2280,"American Woodcock","Bécasse d'Amérique","Scolopax minor","Charadriiformes","Scolopacidae","Scolopax","minor","Scolopax minor"
376,2300,"Wilson's Snipe","Bécassine de Wilson","Gallinago delicata","Charadriiformes","Scolopacidae","Gallinago","delicata","Gallinago delicata"
378,2631,"Common Sandpiper","Chevalier guignette","Actitis hypoleucos","Charadriiformes","Scolopacidae","Actitis","hypoleucos","Actitis hypoleucos"
379,2630,"Spotted Sandpiper","Chevalier grivelé","Actitis macularius","Charadriiformes","Scolopacidae","Actitis","macularius","Actitis macularius"
381,2560,"Solitary Sandpiper","Chevalier solitaire","Tringa solitaria","Charadriiformes","Scolopacidae","Tringa","solitaria","Tringa solitaria"
383,2590,"Wandering Tattler","Chevalier errant","Tringa incana","Charadriiformes","Scolopacidae","Tringa","incana","Tringa incana"
384,2550,"Lesser Yellowlegs","Petit Chevalier","Tringa flavipes","Charadriiformes","Scolopacidae","Tringa","flavipes","Tringa flavipes"
385,2555,"unid. Greater Yellowlegs / Lesser Yellowlegs","unid Grand Chevalier / Petit Chevalier","Tringa melanoleuca / flavipes","Charadriiformes","Scolopacidae","Tringa","melanoleuca / flavipes","Tringa melanoleuca / flavipes"
386,2580,"Willet","Chevalier semipalmé","Tringa semipalmata","Charadriiformes","Scolopacidae","Tringa","semipalmata","Tringa semipalmata"
388,2530,"Common Greenshank","Chevalier aboyeur","Tringa nebularia","Charadriiformes","Scolopacidae","Tringa","nebularia","Tringa nebularia"
389,2540,"Greater Yellowlegs","Grand Chevalier","Tringa melanoleuca","Charadriiformes","Scolopacidae","Tringa","melanoleuca","Tringa melanoleuca"
393,2240,"Wilson's Phalarope","Phalarope de Wilson","Phalaropus tricolor","Charadriiformes","Scolopacidae","Phalaropus","tricolor","Phalaropus tricolor"
394,2230,"Red-necked Phalarope","Phalarope à bec étroit","Phalaropus lobatus","Charadriiformes","Scolopacidae","Phalaropus","lobatus","Phalaropus lobatus"
399,360,"Pomarine Jaeger","Labbe pomarin","Stercorarius pomarinus","Charadriiformes","Stercorariidae","Stercorarius","pomarinus","Stercorarius pomarinus"
400,370,"Parasitic Jaeger","Labbe parasite","Stercorarius parasiticus","Charadriiformes","Stercorariidae","Stercorarius","parasiticus","Stercorarius parasiticus"
401,380,"Long-tailed Jaeger","Labbe à longue queue","Stercorarius longicaudus","Charadriiformes","Stercorariidae","Stercorarius","longicaudus","Stercorarius longicaudus"
403,300,"Common Murre","Guillemot marmette","Uria aalge","Charadriiformes","Alcidae","Uria","aalge","Uria aalge"
404,310,"Thick-billed Murre","Guillemot de Brünnich","Uria lomvia","Charadriiformes","Alcidae","Uria","lomvia","Uria lomvia"
405,315,"unid. Common Murre / Thick-billed Murre","unid Guillemot marmette / Guillemot de Brünnich","Uria aalge / lomvia","Charadriiformes","Laridae","Uria","aalge / lomvia","Uria aalge / lomvia"
406,320,"Razorbill","Petit Pingouin","Alca torda","Charadriiformes","Alcidae","Alca","torda","Alca torda"
407,270,"Black Guillemot","Guillemot à miroir","Cepphus grylle","Charadriiformes","Alcidae","Cepphus","grylle","Cepphus grylle"
408,290,"Pigeon Guillemot","Guillemot colombin","Cepphus columba","Charadriiformes","Alcidae","Cepphus","columba","Cepphus columba"
410,230,"Marbled Murrelet","Guillemot marbré","Brachyramphus marmoratus","Charadriiformes","Alcidae","Brachyramphus","marmoratus","Brachyramphus marmoratus"
411,240,"Kittlitz's Murrelet","Guillemot de Kittlitz","Brachyramphus brevirostris","Charadriiformes","Alcidae","Brachyramphus","brevirostris","Brachyramphus brevirostris"
415,210,"Ancient Murrelet","Guillemot à cou blanc","Synthliboramphus antiquus","Charadriiformes","Alcidae","Synthliboramphus","antiquus","Synthliboramphus antiquus"
416,160,"Cassin's Auklet","Starique de Cassin","Ptychoramphus aleuticus","Charadriiformes","Alcidae","Ptychoramphus","aleuticus","Ptychoramphus aleuticus"
421,150,"Rhinoceros Auklet","Macareux rhinocéros","Cerorhinca monocerata","Charadriiformes","Alcidae","Cerorhinca","monocerata","Cerorhinca monocerata"
423,140,"Horned Puffin","Macareux cornu","Fratercula corniculata","Charadriiformes","Alcidae","Fratercula","corniculata","Fratercula corniculata"
424,120,"Tufted Puffin","Macareux huppé","Fratercula cirrhata","Charadriiformes","Alcidae","Fratercula","cirrhata","Fratercula cirrhata"
426,400,"Black-legged Kittiwake","Mouette tridactyle","Rissa tridactyla","Charadriiformes","Laridae","Rissa","tridactyla","Rissa tridactyla"
429,620,"Sabine's Gull","Mouette de Sabine","Xema sabini","Charadriiformes","Laridae","Xema","sabini","Xema sabini"
430,600,"Bonaparte's Gull","Mouette de Bonaparte","Chroicocephalus philadelphia","Charadriiformes","Laridae","Chroicocephalus","philadelphia","Chroicocephalus philadelphia"
432,551,"Black-headed Gull","Mouette rieuse","Chroicocephalus ridibundus","Charadriiformes","Laridae","Chroicocephalus","ridibundus","Chroicocephalus ridibundus"
433,601,"Little Gull","Mouette pygmée","Hydrocoloeus minutus","Charadriiformes","Laridae","Hydrocoloeus","minutus","Hydrocoloeus minutus"
434,610,"Ross's Gull","Mouette rosée","Rhodostethia rosea","Charadriiformes","Laridae","Rhodostethia","rosea","Rhodostethia rosea"
436,580,"Laughing Gull","Mouette atricille","Leucophaeus atricilla","Charadriiformes","Laridae","Leucophaeus","atricilla","Leucophaeus atricilla"
437,590,"Franklin's Gull","Mouette de Franklin","Leucophaeus pipixcan","Charadriiformes","Laridae","Leucophaeus","pipixcan","Leucophaeus pipixcan"
440,570,"Heermann's Gull","Goéland de Heermann","Larus heermanni","Charadriiformes","Laridae","Larus","heermanni","Larus heermanni"
441,550,"Mew Gull","Goéland cendré","Larus canus","Charadriiformes","Laridae","Larus","canus","Larus canus"
442,540,"Ring-billed Gull","Goéland à bec cerclé","Larus delawarensis","Charadriiformes","Laridae","Larus","delawarensis","Larus delawarensis"
443,490,"Western Gull","Goéland d'Audubon","Larus occidentalis","Charadriiformes","Laridae","Larus","occidentalis","Larus occidentalis"
445,530,"California Gull","Goéland de Californie","Larus californicus","Charadriiformes","Laridae","Larus","californicus","Larus californicus"
446,510,"Herring Gull","Goéland argenté","Larus argentatus","Charadriiformes","Laridae","Larus","argentatus","Larus argentatus"
448,430,"Iceland Gull","Goéland arctique","Larus glaucoides","Charadriiformes","Laridae","Larus","glaucoides","Larus glaucoides"
449,500,"Lesser Black-backed Gull","Goéland brun","Larus fuscus","Charadriiformes","Laridae","Larus","fuscus","Larus fuscus"
450,480,"Slaty-backed Gull","Goéland à manteau ardoisé","Larus schistisagus","Charadriiformes","Laridae","Larus","schistisagus","Larus schistisagus"
451,440,"Glaucous-winged Gull","Goéland à ailes grises","Larus glaucescens","Charadriiformes","Laridae","Larus","glaucescens","Larus glaucescens"
452,495,"hybrid Western Gull x Glaucous-winged Gull","hybride Goéland à ailes grises x d'Audubon","Larus occidentalis x glaucescens","Charadriiformes","Laridae","Larus","occidentalis x glaucescens","Larus occidentalis x glaucescens"
453,420,"Glaucous Gull","Goéland bourgmestre","Larus hyperboreus","Charadriiformes","Laridae","Larus","hyperboreus","Larus hyperboreus"
454,470,"Great Black-backed Gull","Goéland marin","Larus marinus","Charadriiformes","Laridae","Larus","marinus","Larus marinus"
456,534,"unid. gull","unid Goéland sp.","Gull sp.","Charadriiformes","Laridae","Gull","sp.","Gull sp."
463,730,"Aleutian Tern","Sterne des Aléoutiennes","Onychoprion aleuticus","Charadriiformes","Laridae","Onychoprion","aleuticus","Onychoprion aleuticus"
464,740,"Least Tern","Petite Sterne","Sternula antillarum","Charadriiformes","Laridae","Sternula","antillarum","Sternula antillarum"
466,630,"Gull-billed Tern","Sterne hansel","Gelochelidon nilotica","Charadriiformes","Laridae","Gelochelidon","nilotica","Gelochelidon nilotica"
467,640,"Caspian Tern","Sterne caspienne","Hydroprogne caspia","Charadriiformes","Laridae","Hydroprogne","caspia","Hydroprogne caspia"
468,770,"Black Tern","Guifette noire","Chlidonias niger","Charadriiformes","Laridae","Chlidonias","niger","Chlidonias niger"
471,720,"Roseate Tern","Sterne de Dougall","Sterna dougallii","Charadriiformes","Laridae","Sterna","dougallii","Sterna dougallii"
472,700,"Common Tern","Sterne pierregarin","Sterna hirundo","Charadriiformes","Laridae","Sterna","hirundo","Sterna hirundo"
473,710,"Arctic Tern","Sterne arctique","Sterna paradisaea","Charadriiformes","Laridae","Sterna","paradisaea","Sterna paradisaea"
474,690,"Forster's Tern","Sterne de Forster","Sterna forsteri","Charadriiformes","Laridae","Sterna","forsteri","Sterna forsteri"
475,650,"Royal Tern","Sterne royale","Thalasseus maximus","Charadriiformes","Laridae","Thalasseus","maximus","Thalasseus maximus"
476,670,"Sandwich Tern","Sterne caugek","Thalasseus sandvicensis","Charadriiformes","Laridae","Thalasseus","sandvicensis","Thalasseus sandvicensis"
477,660,"Elegant Tern","Sterne élégante","Thalasseus elegans","Charadriiformes","Laridae","Thalasseus","elegans","Thalasseus elegans"
478,634,"unid. tern","unid Sterne sp.","Tern sp.","Charadriiformes","Laridae","Tern","sp.","Tern sp."
479,800,"Black Skimmer","Bec-en-ciseaux noir","Rynchops niger","Charadriiformes","Laridae","Rynchops","niger","Rynchops niger"
484,110,"Red-throated Loon","Plongeon catmarin","Gavia stellata","Gaviiformes","Gaviidae","Gavia","stellata","Gavia stellata"
485,90,"Arctic Loon","Plongeon arctique","Gavia arctica","Gaviiformes","Gaviidae","Gavia","arctica","Gavia arctica"
486,100,"Pacific Loon","Plongeon du Pacifique","Gavia pacifica","Gaviiformes","Gaviidae","Gavia","pacifica","Gavia pacifica"
487,70,"Common Loon","Plongeon huard","Gavia immer","Gaviiformes","Gaviidae","Gavia","immer","Gavia immer"
488,80,"Yellow-billed Loon","Plongeon à bec blanc","Gavia adamsii","Gaviiformes","Gaviidae","Gavia","adamsii","Gavia adamsii"
489,77,"unid. loon","plongeon sp.","Gavia sp.","Gaviiformes","Gaviidae","Gavia","sp.","Gavia sp."
506,1060,"Leach's Storm-Petrel","Océanite cul-blanc","Hydrobates leucorhous","Procellariiformes","Hydrobatidae","Hydrobates","leucorhous","Hydrobates leucorhous"
516,860,"Northern Fulmar","Fulmar boréal","Fulmarus glacialis","Procellariiformes","Procellariidae","Fulmarus","glacialis","Fulmarus glacialis"
538,880,"Cory's Shearwater","Puffin cendré","Calonectris diomedea","Procellariiformes","Procellariidae","Calonectris","diomedea","Calonectris diomedea"
549,900,"Manx Shearwater","Puffin des Anglais","Puffinus puffinus","Procellariiformes","Procellariidae","Puffinus","puffinus","Puffinus puffinus"
556,1880,"Wood Stork","Tantale d'Amérique","Mycteria americana","Ciconiiformes","Ciconiidae","Mycteria","americana","Mycteria americana"
558,1280,"Magnificent Frigatebird","Frégate superbe","Fregata magnificens","Suliformes","Fregatidae","Fregata","magnificens","Fregata magnificens"
560,1140,"Masked Booby","Fou masqué","Sula dactylatra","Suliformes","Sulidae","Sula","dactylatra","Sula dactylatra"
562,1141,"Blue-footed Booby","Fou à pieds bleus","Sula nebouxii","Suliformes","Sulidae","Sula","nebouxii","Sula nebouxii"
563,1150,"Brown Booby","Fou brun","Sula leucogaster","Suliformes","Sulidae","Sula","leucogaster","Sula leucogaster"
565,1170,"Northern Gannet","Fou de Bassan","Morus bassanus","Suliformes","Sulidae","Morus","bassanus","Morus bassanus"
566,1220,"Brandt's Cormorant","Cormoran de Brandt","Phalacrocorax penicillatus","Suliformes","Phalacrocoracidae","Phalacrocorax","penicillatus","Phalacrocorax penicillatus"
567,1210,"Neotropic Cormorant","Cormoran vigua","Phalacrocorax brasilianus","Suliformes","Phalacrocoracidae","Phalacrocorax","brasilianus","Phalacrocorax brasilianus"
568,1200,"Double-crested Cormorant","Cormoran à aigrettes","Phalacrocorax auritus","Suliformes","Phalacrocoracidae","Phalacrocorax","auritus","Phalacrocorax auritus"
569,1205,"unid. Neotropic / Double-crested Cormorant","Cormoran vigua / Cormoran à aigrettes","Phalacrocorax brasilianus / auritus","Suliformes","Phalacrocoracidae","Phalacrocorax","brasilianus / auritus","Phalacrocorax brasilianus / auritus"
570,1190,"Great Cormorant","Grand Cormoran","Phalacrocorax carbo","Suliformes","Phalacrocoracidae","Phalacrocorax","carbo","Phalacrocorax carbo"
571,1206,"unid. Double-crested Cormorant / Great Cormorant","Cormoran à aigrettes / Grand Cormoran","Phalacrocorax auritus / carbo","Suliformes","Phalacrocoracidae","Phalacrocorax","auritus / carbo","Phalacrocorax auritus / carbo"
573,1230,"Pelagic Cormorant","Cormoran pélagique","Phalacrocorax pelagicus","Suliformes","Phalacrocoracidae","Phalacrocorax","pelagicus","Phalacrocorax pelagicus"
574,1207,"unid. west coast cormorant","unid Cormoran de la côte ouest","Phalacrocorax sp.","Suliformes","Phalacrocoracidae","Phalacrocorax","sp.","Phalacrocorax sp."
575,1180,"Anhinga","Anhinga d'Amérique","Anhinga anhinga","Suliformes","Anhingidae","Anhinga","anhinga","Anhinga anhinga"
576,1250,"American White Pelican","Pélican d'Amérique","Pelecanus erythrorhynchos","Pelecaniformes","Pelecanidae","Pelecanus","erythrorhynchos","Pelecanus erythrorhynchos"
577,1260,"Brown Pelican","Pélican brun","Pelecanus occidentalis","Pelecaniformes","Pelecanidae","Pelecanus","occidentalis","Pelecanus occidentalis"
579,1900,"American Bittern","Butor d'Amérique","Botaurus lentiginosus","Pelecaniformes","Ardeidae","Botaurus","lentiginosus","Botaurus lentiginosus"
581,1910,"Least Bittern","Petit Blongios","Ixobrychus exilis","Pelecaniformes","Ardeidae","Ixobrychus","exilis","Ixobrychus exilis"
583,1940,"Great Blue Heron","Grand Héron","Ardea herodias","Pelecaniformes","Ardeidae","Ardea","herodias","Ardea herodias"
584,1920,"(Great White Heron) Great Blue Heron","Grand Héron (blanche)","Ardea herodias occidentalis","Pelecaniformes","Ardeidae","Ardea","herodias occidentalis","Ardea herodias occidentalis"
586,1960,"Great Egret","Grande Aigrette","Ardea alba","Pelecaniformes","Ardeidae","Ardea","alba","Ardea alba"
589,1961,"Little Egret","Aigrette garzette","Egretta garzetta","Pelecaniformes","Ardeidae","Egretta","garzetta","Egretta garzetta"
591,1970,"Snowy Egret","Aigrette neigeuse","Egretta thula","Pelecaniformes","Ardeidae","Egretta","thula","Egretta thula"
592,2000,"Little Blue Heron","Aigrette bleue","Egretta caerulea","Pelecaniformes","Ardeidae","Egretta","caerulea","Egretta caerulea"
593,1990,"Tricolored Heron","Aigrette tricolore","Egretta tricolor","Pelecaniformes","Ardeidae","Egretta","tricolor","Egretta tricolor"
594,1980,"Reddish Egret","Aigrette roussâtre","Egretta rufescens","Pelecaniformes","Ardeidae","Egretta","rufescens","Egretta rufescens"
595,2001,"Cattle Egret","Héron garde-boeufs","Bubulcus ibis","Pelecaniformes","Ardeidae","Bubulcus","ibis","Bubulcus ibis"
597,2010,"Green Heron","Héron vert","Butorides virescens","Pelecaniformes","Ardeidae","Butorides","virescens","Butorides virescens"
600,2020,"Black-crowned Night-Heron","Bihoreau gris","Nycticorax nycticorax","Pelecaniformes","Ardeidae","Nycticorax","nycticorax","Nycticorax nycticorax"
601,2030,"Yellow-crowned Night-Heron","Bihoreau violacé","Nyctanassa violacea","Pelecaniformes","Ardeidae","Nyctanassa","violacea","Nyctanassa violacea"
602,2035,"unid Black-crowned / Yellow-crowned Night-Heron","unid Bihoreau gris / Bihoreau violacé","Nycticorax / Nyctanassa nycticorax / violacea","Pelecaniformes","Ardeidae","Nycticorax / Nyctanassa","nycticorax / violacea","Nycticorax / Nyctanassa nycticorax / violacea"
604,1945,"unid. heron / egret","unid héron / aigrette sp.","Ardeid sp.","Pelecaniformes","Ardeidae","Ardeid","sp.","Ardeid sp."
605,1840,"White Ibis","Ibis blanc","Eudocimus albus","Pelecaniformes","Threskiornithidae","Eudocimus","albus","Eudocimus albus"
607,1860,"Glossy Ibis","Ibis falcinelle","Plegadis falcinellus","Pelecaniformes","Threskiornithidae","Plegadis","falcinellus","Plegadis falcinellus"
608,1870,"White-faced Ibis","Ibis à face blanche","Plegadis chihi","Pelecaniformes","Threskiornithidae","Plegadis","chihi","Plegadis chihi"
609,1861,"unid. Glossy Ibis / White-faced Ibis","unid Ibis falcinelle / Ibis à face blanche","Plegadis falcinellus / chihi","Pelecaniformes","Threskiornithidae","Plegadis","falcinellus / chihi","Plegadis falcinellus / chihi"
610,1830,"Roseate Spoonbill","Spatule rosée","Platalea ajaja","Pelecaniformes","Threskiornithidae","Platalea","ajaja","Platalea ajaja"
611,3260,"Black Vulture","Urubu noir","Coragyps atratus","Cathartiformes","Cathartidae","Coragyps","atratus","Coragyps atratus"
612,3250,"Turkey Vulture","Urubu à tête rouge","Cathartes aura","Cathartiformes","Cathartidae","Cathartes","aura","Cathartes aura"
613,3255,"unid. Black Vulture / Turkey Vulture","unid Urubu noir / Urubu à tête rouge","Coragyps / Cathartes atratus / aura","Cathartiformes","Cathartidae","Coragyps / Cathartes","atratus / aura","Coragyps / Cathartes atratus / aura"
615,3240,"California Condor","Condor de Californie","Gymnogyps californianus","Cathartiformes","Cathartidae","Gymnogyps","californianus","Gymnogyps californianus"
617,3640,"Osprey","Balbuzard pêcheur","Pandion haliaetus","Accipitriformes","Pandionidae","Pandion","haliaetus","Pandion haliaetus"
618,3280,"White-tailed Kite","Élanion à queue blanche","Elanus leucurus","Accipitriformes","Accipitridae","Elanus","leucurus","Elanus leucurus"
619,3271,"Hook-billed Kite","Bec-en-croc de Temminck","Chondrohierax uncinatus","Accipitriformes","Accipitridae","Chondrohierax","uncinatus","Chondrohierax uncinatus"
621,3270,"Swallow-tailed Kite","Naucler à queue fourchue","Elanoides forficatus","Accipitriformes","Accipitridae","Elanoides","forficatus","Elanoides forficatus"
624,3490,"Golden Eagle","Aigle royal","Aquila chrysaetos","Accipitriformes","Accipitridae","Aquila","chrysaetos","Aquila chrysaetos"
629,3310,"Northern Harrier","Busard des marais","Circus hudsonius","Accipitriformes","Accipitridae","Circus","hudsonius","Circus hudsonius"
631,3320,"Sharp-shinned Hawk","Épervier brun","Accipiter striatus","Accipitriformes","Accipitridae","Accipiter","striatus","Accipiter striatus"
632,3330,"Cooper's Hawk","Épervier de Cooper","Accipiter cooperii","Accipitriformes","Accipitridae","Accipiter","cooperii","Accipiter cooperii"
634,3340,"Northern Goshawk","Autour des palombes","Accipiter gentilis","Accipitriformes","Accipitridae","Accipiter","gentilis","Accipiter gentilis"
635,3333,"unid. Accipiter hawk","unid épervier sp.","Accipiter sp.","Accipitriformes","Accipitridae","Accipiter","sp.","Accipiter sp."
637,3520,"Bald Eagle","Pygargue à tête blanche","Haliaeetus leucocephalus","Accipitriformes","Accipitridae","Haliaeetus","leucocephalus","Haliaeetus leucocephalus"
640,3290,"Mississippi Kite","Milan du Mississippi","Ictinia mississippiensis","Accipitriformes","Accipitridae","Ictinia","mississippiensis","Ictinia mississippiensis"
644,3300,"Snail Kite","Milan des marais","Rostrhamus sociabilis","Accipitriformes","Accipitridae","Rostrhamus","sociabilis","Rostrhamus sociabilis"
645,3450,"Common Black Hawk","Buse noire","Buteogallus anthracinus","Accipitriformes","Accipitridae","Buteogallus","anthracinus","Buteogallus anthracinus"
649,3350,"Harris's Hawk","Buse de Harris","Parabuteo unicinctus","Accipitriformes","Accipitridae","Parabuteo","unicinctus","Parabuteo unicinctus"
650,3410,"White-tailed Hawk","Buse à queue blanche","Geranoaetus albicaudatus","Accipitriformes","Accipitridae","Geranoaetus","albicaudatus","Geranoaetus albicaudatus"
652,3460,"Gray Hawk","Buse grise","Buteo plagiatus","Accipitriformes","Accipitridae","Buteo","plagiatus","Buteo plagiatus"
653,3390,"Red-shouldered Hawk","Buse à épaulettes","Buteo lineatus","Accipitriformes","Accipitridae","Buteo","lineatus","Buteo lineatus"
654,3430,"Broad-winged Hawk","Petite Buse","Buteo platypterus","Accipitriformes","Accipitridae","Buteo","platypterus","Buteo platypterus"
655,3440,"Short-tailed Hawk","Buse à queue courte","Buteo brachyurus","Accipitriformes","Accipitridae","Buteo","brachyurus","Buteo brachyurus"
656,3420,"Swainson's Hawk","Buse de Swainson","Buteo swainsoni","Accipitriformes","Accipitridae","Buteo","swainsoni","Buteo swainsoni"
657,3400,"Zone-tailed Hawk","Buse à queue barrée","Buteo albonotatus","Accipitriformes","Accipitridae","Buteo","albonotatus","Buteo albonotatus"
658,3370,"Red-tailed Hawk","Buse à queue rousse","Buteo jamaicensis","Accipitriformes","Accipitridae","Buteo","jamaicensis","Buteo jamaicensis"
659,3380,"(Harlan's Hawk) Red-tailed Hawk","Buse à queue rousse (groupe harlani)","Buteo jamaicensis harlani","Accipitriformes","Accipitridae","Buteo","jamaicensis harlani","Buteo jamaicensis harlani"
660,3470,"Rough-legged Hawk","Buse pattue","Buteo lagopus","Accipitriformes","Accipitridae","Buteo","lagopus","Buteo lagopus"
661,3480,"Ferruginous Hawk","Buse rouilleuse","Buteo regalis","Accipitriformes","Accipitridae","Buteo","regalis","Buteo regalis"
662,3451,"unid. Buteo hawk","unid Buse sp.","Buteo sp.","Accipitriformes","Accipitridae","Buteo","sp.","Buteo sp."
663,3650,"Barn Owl","Effraie des clochers","Tyto alba","Strigiformes","Tytonidae","Tyto","alba","Tyto alba"
665,3740,"Flammulated Owl","Petit-duc nain","Psiloscops flammeolus","Strigiformes","Strigidae","Psiloscops","flammeolus","Psiloscops flammeolus"
666,3732,"Western Screech-Owl","Petit-duc des montagnes","Megascops kennicottii","Strigiformes","Strigidae","Megascops","kennicottii","Megascops kennicottii"
667,3730,"Eastern Screech-Owl","Petit-duc maculé","Megascops asio","Strigiformes","Strigidae","Megascops","asio","Megascops asio"
670,3731,"Whiskered Screech-Owl","Petit-duc à moustaches","Megascops trichopsis","Strigiformes","Strigidae","Megascops","trichopsis","Megascops trichopsis"
675,3750,"Great Horned Owl","Grand-duc d'Amérique","Bubo virginianus","Strigiformes","Strigidae","Bubo","virginianus","Bubo virginianus"
676,3760,"Snowy Owl","Harfang des neiges","Bubo scandiacus","Strigiformes","Strigidae","Bubo","scandiacus","Bubo scandiacus"
677,3770,"Northern Hawk Owl","Chouette épervière","Surnia ulula","Strigiformes","Strigidae","Surnia","ulula","Surnia ulula"
678,3790,"Northern Pygmy-Owl","Chevêchette naine","Glaucidium gnoma","Strigiformes","Strigidae","Glaucidium","gnoma","Glaucidium gnoma"
682,3800,"Ferruginous Pygmy-Owl","Chevêchette brune","Glaucidium brasilianum","Strigiformes","Strigidae","Glaucidium","brasilianum","Glaucidium brasilianum"
683,3810,"Elf Owl","Chevêchette des saguaros","Micrathene whitneyi","Strigiformes","Strigidae","Micrathene","whitneyi","Micrathene whitneyi"
684,3780,"Burrowing Owl","Chevêche des terriers","Athene cunicularia","Strigiformes","Strigidae","Athene","cunicularia","Athene cunicularia"
687,3690,"Spotted Owl","Chouette tachetée","Strix occidentalis","Strigiformes","Strigidae","Strix","occidentalis","Strix occidentalis"
688,3680,"Barred Owl","Chouette rayée","Strix varia","Strigiformes","Strigidae","Strix","varia","Strix varia"
690,3700,"Great Gray Owl","Chouette lapone","Strix nebulosa","Strigiformes","Strigidae","Strix","nebulosa","Strix nebulosa"
691,3660,"Long-eared Owl","Hibou moyen-duc","Asio otus","Strigiformes","Strigidae","Asio","otus","Asio otus"
693,3670,"Short-eared Owl","Hibou des marais","Asio flammeus","Strigiformes","Strigidae","Asio","flammeus","Asio flammeus"
695,3710,"Boreal Owl","Nyctale de Tengmalm","Aegolius funereus","Strigiformes","Strigidae","Aegolius","funereus","Aegolius funereus"
696,3720,"Northern Saw-whet Owl","Petite Nyctale","Aegolius acadicus","Strigiformes","Strigidae","Aegolius","acadicus","Aegolius acadicus"
703,3890,"Elegant Trogon","Trogon élégant","Trogon elegans","Trogoniformes","Trogonidae","Trogon","elegans","Trogon elegans"
716,3901,"Ringed Kingfisher","Martin-pêcheur à ventre roux","Megaceryle torquata","Coraciiformes","Alcedinidae","Megaceryle","torquata","Megaceryle torquata"
717,3900,"Belted Kingfisher","Martin-pêcheur d'Amérique","Megaceryle alcyon","Coraciiformes","Alcedinidae","Megaceryle","alcyon","Megaceryle alcyon"
719,3910,"Green Kingfisher","Martin-pêcheur vert","Chloroceryle americana","Coraciiformes","Alcedinidae","Chloroceryle","americana","Chloroceryle americana"
728,4080,"Lewis's Woodpecker","Pic de Lewis","Melanerpes lewis","Piciformes","Picidae","Melanerpes","lewis","Melanerpes lewis"
729,4060,"Red-headed Woodpecker","Pic à tête rouge","Melanerpes erythrocephalus","Piciformes","Picidae","Melanerpes","erythrocephalus","Melanerpes erythrocephalus"
730,4070,"Acorn Woodpecker","Pic glandivore","Melanerpes formicivorus","Piciformes","Picidae","Melanerpes","formicivorus","Melanerpes formicivorus"
735,4110,"Gila Woodpecker","Pic des saguaros","Melanerpes uropygialis","Piciformes","Picidae","Melanerpes","uropygialis","Melanerpes uropygialis"
736,4100,"Golden-fronted Woodpecker","Pic à front doré","Melanerpes aurifrons","Piciformes","Picidae","Melanerpes","aurifrons","Melanerpes aurifrons"
737,4090,"Red-bellied Woodpecker","Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus","Melanerpes carolinus"
738,4040,"Williamson's Sapsucker","Pic de Williamson","Sphyrapicus thyroideus","Piciformes","Picidae","Sphyrapicus","thyroideus","Sphyrapicus thyroideus"
739,4020,"Yellow-bellied Sapsucker","Pic maculé","Sphyrapicus varius","Piciformes","Picidae","Sphyrapicus","varius","Sphyrapicus varius"
740,4021,"Red-naped Sapsucker","Pic à nuque rouge","Sphyrapicus nuchalis","Piciformes","Picidae","Sphyrapicus","nuchalis","Sphyrapicus nuchalis"
741,4030,"Red-breasted Sapsucker","Pic à poitrine rouge","Sphyrapicus ruber","Piciformes","Picidae","Sphyrapicus","ruber","Sphyrapicus ruber"
742,4022,"unid. sapsucker","unid Sphyrapicus sp.","Sphyrapicus sp.","Piciformes","Picidae","Sphyrapicus","sp.","Sphyrapicus sp."
743,4010,"American Three-toed Woodpecker","Pic à dos rayé","Picoides dorsalis","Piciformes","Picidae","Picoides","dorsalis","Picoides dorsalis"
744,4000,"Black-backed Woodpecker","Pic à dos noir","Picoides arcticus","Piciformes","Picidae","Picoides","arcticus","Picoides arcticus"
746,3940,"Downy Woodpecker","Pic mineur","Dryobates pubescens","Piciformes","Picidae","Dryobates","pubescens","Dryobates pubescens"
